listing_id,date
271733,2012-01-07
271733,2012-03-08
271733,2012-08-05
271733,2012-09-05
271733,2012-09-17
271733,2012-11-16
271733,2012-12-24
271733,2013-01-03
271733,2013-03-09
271733,2013-05-10
271733,2013-06-10
271733,2013-07-17
271733,2013-08-12
271733,2013-08-22
271733,2013-09-19
271733,2014-09-10
271733,2014-10-25
271733,2014-11-18
271733,2014-11-22
271733,2014-12-28
271733,2015-01-02
271733,2015-01-23
271733,2015-02-01
271733,2015-03-28
271733,2015-04-03
271733,2015-04-08
271733,2015-05-01
271733,2015-08-22
271733,2015-10-11
271733,2015-12-17
271733,2016-01-03
271733,2016-02-14
271733,2016-03-15
271733,2016-03-30
271733,2016-05-03
271733,2016-05-13
271733,2016-05-31
271733,2016-06-26
271733,2016-09-30
271733,2016-11-28
271733,2016-12-18
271733,2017-01-07
271733,2017-02-07
271733,2017-03-24
271733,2017-04-22
271733,2018-03-26
271733,2018-05-12
271733,2018-07-28
271733,2018-09-09
271733,2018-10-05
271733,2018-10-21
271733,2019-01-03
271733,2019-03-16
271733,2019-05-11
271733,2019-09-15
271733,2019-10-22
271733,2019-11-08
271733,2019-12-20
271733,2020-01-30
271733,2020-02-26
271733,2020-07-31
271733,2020-10-10
271733,2020-11-07
271733,2021-02-07
289298,2013-05-08
289298,2013-05-19
289298,2013-06-10
289298,2013-06-16
289298,2013-06-24
289298,2013-07-07
289298,2013-07-21
289298,2013-07-25
289298,2013-07-30
289298,2013-08-09
289298,2013-08-14
289298,2013-08-22
289298,2013-08-25
289298,2013-09-23
289298,2013-09-28
289298,2013-10-01
289298,2013-10-09
289298,2013-10-18
289298,2013-10-27
289298,2013-10-31
289298,2013-11-09
289298,2013-11-18
289298,2013-11-29
289298,2013-12-03
289298,2014-01-03
289298,2014-01-06
289298,2014-01-13
289298,2014-02-09
289298,2014-02-24
289298,2014-02-27
289298,2014-03-07
289298,2014-03-23
289298,2014-03-25
289298,2014-04-08
289298,2014-04-14
289298,2014-04-17
289298,2014-04-28
289298,2014-04-30
289298,2014-05-07
289298,2014-05-21
289298,2014-07-22
289298,2014-08-23
289298,2014-09-08
289298,2014-09-13
289298,2014-09-14
289298,2014-09-23
289298,2014-10-11
289298,2014-10-19
289298,2014-10-27
289298,2014-11-02
289298,2014-11-16
289298,2014-12-19
289298,2014-12-23
289298,2014-12-24
289298,2014-12-29
289298,2015-01-02
289298,2015-01-03
289298,2015-02-15
289298,2015-02-24
289298,2015-03-15
289298,2015-03-20
289298,2015-03-31
289298,2015-04-07
289298,2015-05-01
289298,2015-05-04
289298,2015-05-09
289298,2015-05-24
289298,2015-06-10
289298,2015-06-22
289298,2015-07-20
289298,2015-08-01
289298,2015-09-15
289298,2015-09-27
289298,2015-10-03
289298,2015-10-20
289298,2015-11-29
289298,2015-12-24
289298,2016-02-09
289298,2016-02-20
289298,2016-03-31
289298,2016-04-26
289298,2016-05-14
289298,2016-05-15
289298,2016-06-28
289298,2016-06-30
289298,2016-07-25
289298,2016-08-01
289298,2016-09-24
289298,2016-11-21
289298,2016-12-18
289298,2017-01-07
289298,2017-03-21
289298,2017-03-25
289298,2017-03-28
289298,2017-04-02
289298,2017-05-30
289298,2017-06-15
289298,2017-06-19
289298,2017-08-20
289298,2017-10-24
289298,2017-11-18
289298,2017-11-23
289298,2017-11-26
289298,2017-12-24
289298,2018-01-01
289298,2018-01-15
289298,2018-03-06
289298,2018-03-10
289298,2018-03-25
289298,2018-04-24
289298,2018-05-20
289298,2018-05-26
289298,2018-05-27
289298,2018-06-02
289298,2018-07-02
289298,2018-07-08
289298,2018-08-02
289298,2018-08-12
289298,2018-08-20
289298,2018-09-07
289298,2018-09-09
289298,2018-09-11
289298,2018-10-05
289298,2018-10-08
289298,2018-10-09
289298,2018-10-14
289298,2018-10-26
289298,2018-11-12
289298,2018-12-17
289298,2019-01-06
289298,2019-02-27
289298,2019-03-13
289298,2019-04-18
289298,2019-04-21
289298,2019-04-28
289298,2019-05-05
289298,2019-05-17
289298,2019-05-27
289298,2019-06-08
289298,2019-06-19
289298,2019-06-23
289298,2019-06-30
289298,2019-07-05
289298,2019-07-07
289298,2019-07-22
289298,2019-07-25
289298,2019-07-29
289298,2019-08-02
289298,2019-09-05
289298,2019-09-08
289298,2019-09-21
289298,2019-09-28
289298,2019-09-29
289298,2019-10-12
289298,2019-10-20
289298,2019-10-23
289298,2019-10-27
289298,2019-11-03
289298,2019-11-13
289298,2019-11-16
289298,2019-11-19
289298,2019-11-22
289298,2019-11-30
289298,2019-12-24
289298,2019-12-29
289298,2020-01-01
289298,2020-01-04
289298,2020-01-08
289298,2020-01-18
289298,2020-01-26
289298,2020-02-10
289298,2020-04-28
289298,2020-08-09
289298,2020-08-16
289298,2020-08-23
289298,2020-09-20
289298,2020-10-19
289298,2020-11-09
289298,2020-11-20
289298,2020-11-22
289298,2020-12-19
289298,2020-12-20
289298,2020-12-27
289298,2021-01-01
289298,2021-02-21
289298,2021-03-23
333362,2012-03-03
333362,2012-03-19
333362,2012-04-12
333362,2012-04-28
333362,2012-05-22
333362,2012-06-22
333362,2012-06-25
333362,2012-07-14
333362,2012-08-10
333362,2012-09-02
333362,2012-09-06
333362,2012-09-19
333362,2012-10-07
333362,2012-10-14
333362,2012-10-25
333362,2012-11-07
333362,2012-11-10
333362,2012-12-01
333362,2012-12-24
333362,2013-01-06
333362,2013-02-17
333362,2013-03-07
333362,2013-03-18
333362,2013-03-27
333362,2013-04-01
333362,2013-04-06
333362,2013-04-10
333362,2013-04-17
333362,2013-05-05
333362,2013-05-08
333362,2013-05-21
333362,2013-06-04
333362,2013-06-08
333362,2013-06-17
333362,2013-06-28
333362,2013-07-25
333362,2013-08-04
333362,2013-08-12
333362,2013-08-25
333362,2013-09-08
333362,2013-09-15
333362,2013-11-04
333362,2013-11-09
333362,2013-11-16
333362,2013-11-26
333362,2013-11-29
333362,2013-12-02
333362,2013-12-05
333362,2013-12-11
333362,2014-01-07
333362,2014-01-18
333362,2014-01-31
333362,2014-02-17
333362,2014-02-22
333362,2014-03-15
333362,2014-03-27
333362,2014-04-05
333362,2014-04-19
333362,2014-04-25
333362,2014-05-06
333362,2014-05-31
333362,2014-06-06
333362,2014-06-17
333362,2014-06-20
333362,2014-06-28
333362,2014-07-09
333362,2014-07-20
333362,2014-07-26
333362,2014-07-31
333362,2014-09-02
333362,2014-09-14
333362,2014-10-16
333362,2014-10-28
333362,2014-11-08
333362,2014-11-17
333362,2014-12-06
333362,2015-02-16
333362,2015-04-12
333362,2015-08-26
357836,2012-05-01
357836,2012-05-31
357836,2012-06-04
357836,2012-09-06
357836,2012-09-23
357836,2012-10-30
357836,2012-12-20
357836,2013-02-20
357836,2013-09-30
357836,2013-11-12
357836,2013-11-26
357836,2013-12-15
357836,2014-02-21
357836,2014-05-14
357836,2014-05-25
357836,2014-06-16
357836,2014-07-01
357836,2014-07-07
357836,2014-08-12
357836,2014-08-31
357836,2014-09-10
357836,2014-10-29
357836,2014-12-14
357836,2015-01-02
357836,2015-01-24
357836,2015-02-12
357836,2015-02-26
357836,2015-03-25
357836,2015-03-30
357836,2015-07-01
357836,2015-07-06
357836,2015-08-24
357836,2015-09-21
357836,2015-10-05
357836,2015-10-11
357836,2016-03-06
357836,2016-03-09
357836,2016-03-27
357836,2016-04-08
357836,2016-05-02
357836,2016-06-07
357836,2016-07-18
357836,2016-09-06
357836,2016-09-19
357836,2016-10-24
357836,2016-11-05
357836,2016-12-08
357836,2017-01-13
357836,2017-01-22
357836,2017-02-07
357836,2017-03-15
357836,2017-03-27
357836,2017-04-07
357836,2017-04-14
357836,2017-04-18
357836,2017-04-20
357836,2017-04-30
357836,2017-05-05
357836,2017-06-01
357836,2017-06-23
357836,2017-08-19
357836,2017-09-02
357836,2017-09-09
357836,2017-10-04
357836,2017-10-08
357836,2017-10-11
357836,2017-10-30
357836,2017-11-09
357836,2017-11-18
357836,2017-11-23
357836,2017-11-28
357836,2017-12-04
357836,2017-12-18
357836,2018-01-02
357836,2018-01-19
357836,2018-01-25
357836,2018-01-28
357836,2018-02-26
357836,2018-03-26
357836,2018-04-15
357836,2018-06-06
357836,2018-06-14
357836,2018-06-24
